file_name,relative_path,sha256,file_size,modified_utc,sheet_names,source_role,source_priority,record_counts,migration_status,notes
Endüstriyel Ambalaj Miktarı Çalışması(5).xlsx,input/production/Endüstriyel Ambalaj Miktarı Çalışması(5).xlsx,5b28ff7d7a6964cce5625b1fb5eb8996e08b0cc43d37bb118b7a17a6f509e584,10041,2026-08-10T16:27:57Z,Sayfa1,LEVEL_3_OPERATIONAL_SOURCE,3,,INVENTORIED,Operational lineage source
INCI_AKU_PPWR_Final_Configuration_Register_Rev00.xlsx,input/production/INCI_AKU_PPWR_Final_Configuration_Register_Rev00.xlsx,dc86cfc00b70130aae6649e7702732472c11e0d3c8747b6c6bd1b23cc44234fc,282031,2026-08-10T16:32:26Z,00_SUMMARY | 01_FINAL_CONFIG_MASTER | 02_PRODUCT_MAP | 03_BOM_MASTER | 04_DOMESTIC_ONLY | 05_CODE_LEGEND,LEVEL_1_GOLDEN_REGISTER,1,,INVENTORIED,Content-qualified
INCI_AKU_PPWR_Final_Configuration_Register_Rev00_GOLDEN_VARIANTS_FINAL.xlsx,input/production/INCI_AKU_PPWR_Final_Configuration_Register_Rev00_GOLDEN_VARIANTS_FINAL.xlsx,dc86cfc00b70130aae6649e7702732472c11e0d3c8747b6c6bd1b23cc44234fc,282031,2026-08-10T16:32:26Z,00_SUMMARY | 01_FINAL_CONFIG_MASTER | 02_PRODUCT_MAP | 03_BOM_MASTER | 04_DOMESTIC_ONLY | 05_CODE_LEGEND,LEVEL_1_GOLDEN_REGISTER,1,configs=247; bom=1690; products=2046,QUALIFIED,Content-qualified PASS (247/240/3/4)
INCI_AKU_PPWR_PIMS_Data_Package_Rev00_OEM_ART5_FIXED.xlsx,input/production/INCI_AKU_PPWR_PIMS_Data_Package_Rev00_OEM_ART5_FIXED.xlsx,814ec51939021b9664447af7df8f0c5f349e4470e60cffcfad0c72ffeaff86f2,450437,2026-08-10T16:27:57Z,00_README | 01_DASHBOARD | 02_COMPONENT_MASTER | 03_CONFIGURATION_MASTER | 04_CONFIG_COMPONENTS | 05_VARIANT_MASTER | 06_VARIANT_COMPONENTS | 07_PRODUCT_MAP | 08_COMMERCIAL_SCENARIOS | 09_EVIDENCE_STATUS | 10_CONTROL_RECORDS | 11_SOURCE_REGISTER | 12_DATA_DICTIONARY | 99_LOOKUPS | 13_BOM_CLOSURE_LOG,LEVEL_2_CONTROLLED_PIMS,2,,INVENTORIED,Controlled PIMS/BOM lineage package
Mamul Ambalaj Bileşen Listesi-30.07.2026(6).xlsx,input/production/Mamul Ambalaj Bileşen Listesi-30.07.2026(6).xlsx,561e7e7c3c837ae556bfb6be61c5346b2a0d07f02bca61ff08d177a3e1db7c9d,700834,2026-08-10T16:27:57Z,Data,LEVEL_3_OPERATIONAL_SOURCE,3,,INVENTORIED,Operational lineage source
TEDARİKÇİLER.7z,input/production/TEDARİKÇİLER.7z,b65c13a121d8236d64e241cf0f35343734557cd1369855ccdf68d86f3f4810db,51585158,2026-08-10T16:27:57Z,(binary/archive),LEVEL_4_EVIDENCE_ARCHIVE,4,,INVENTORIED,Supplier evidence archive — do not modify
Yüklemede Kullanılan Malzeme Ağırlıkları-2(7).xlsx,input/production/Yüklemede Kullanılan Malzeme Ağırlıkları-2(7).xlsx,c59b4d0fc5ea677f20a3d3588b1e401b5594ac72509234c03ae474d84812618a,11544,2026-08-10T16:27:57Z,Sheet1,LEVEL_3_OPERATIONAL_SOURCE,3,,INVENTORIED,Operational lineage source
